"TIV of arms exports from Russia, 2014-2015",,,,
Generated: 11 June 2016,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,
Figures may not add up due to the conventions of rounding.,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,
,,,,
,,,,
Source: SIPRI Arms Transfers Database,,,,
,,,,
,,2014,2015,Total
,Afghanistan,203,,203
,Algeria,173,284,457
,Angola,,52,52
,Azerbaijan,559,181,740
,Bangladesh,9,79,89
,Belarus,60,155,215
,Brazil,35,,35
,Cameroon,14,,14
,China,714,824,1538
,Congo,7,,7
,Egypt,75,30,105
,Hungary,7,,7
,India,1871,1964,3834
,Indonesia,54,,54
,Iran,4,4,8
,Iraq,322,426,748
,Kazakhstan,28,412,440
,Mongolia,,13,13
,Myanmar,34,6,40
,Nepal,,14,14
,Nigeria,58,87,144
,Pakistan,24,40,64
,Peru,54,68,122
,Rwanda,14,7,20
,South Africa,50,,50
,Thailand,,14,14
,Turkmenistan,17,,17
,Ukraine Rebels*,24,,24
,Venezuela,79,,79
,Viet Nam,983,812,1795
,Zambia,,14,14
,,,,
,Total,5468,5483,10951
